departamento,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AMAZONAS,1042.0,1723.0,1277.0,1913.0,1362.0,782.0,1139.0,2669.0,962.0,1157.0,1862.0561203200002,1782.66937344
ANTIOQUIA,13736.0,21032.0,15888.0,20494.0,20592.0,12820.0,11601.0,12645.0,9751.0,10290.0,8138.72185344,7206.996602880001
ARAUCA,3119.0,3913.0,2395.0,3907.0,3214.0,4204.0,3452.0,2175.0,2537.0,2189.0,1583.27291904,1147.5753984
ATLÁNTICO,62.0,55.0,40.0,72.0,50.0,0.0,18.0,26.0,13.0,27.0,4.647936,43.318763520000005
"BOGOTÁ,D.C",1.0,0.0,2.0,1.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLÍVAR,1803.0,4860.0,4566.0,5557.0,3561.0,2821.0,3074.0,3742.0,2989.0,3043.0,2220.69086208,2293.756416
BOYACÁ,362.0,511.0,347.0,704.0,854.0,496.0,350.0,343.0,262.0,174.0,225.51785472,399.44361984
CALDAS,123.0,874.0,178.0,472.0,499.0,305.0,309.0,212.0,142.0,95.0,110.89975296,60.14429184000001
CAQUETÁ,29844.0,29245.0,23812.0,26544.0,60373.0,46765.0,30317.0,32522.0,38383.0,19193.0,12647.12681472,25256.14055424
CASANARE,1807.0,3450.0,2939.0,1759.0,2178.0,1979.0,1628.0,1370.0,1961.0,1586.0,1363.7044224,974.6721792000001
CAUCA,1470.0,1707.0,3031.0,2889.0,2107.0,1285.0,1793.0,3048.0,2571.0,2454.0,625.70514432,790.3350374400001
CESAR,1110.0,786.0,448.0,1576.0,378.0,353.0,444.0,324.0,476.0,284.0,110.24904192000001,172.06659072
CHOCÓ,2874.0,10353.0,5813.0,24025.0,10046.0,4946.0,11457.0,8485.0,6963.0,8569.0,5974.178058240001,6335.508602880001
CÓRDOBA,1743.0,2734.0,1937.0,2387.0,2122.0,1422.0,1762.0,2029.0,1611.0,2590.0,1147.01764608,1063.16888064
CUNDINAMARCA,332.0,191.0,489.0,437.0,373.0,307.0,241.0,69.0,119.0,126.0,132.09434112,188.7062016
GUAINÍA,1863.0,1300.0,1340.0,2752.0,847.0,2350.0,1433.0,1656.0,911.0,1504.0,1782.4834560000002,1204.65205248
GUAVIARE,10569.0,6892.0,9634.0,11456.0,38221.0,34527.0,24220.0,25553.0,25021.0,15721.0,11467.294740480002,16942.93518336
HUILA,936.0,386.0,686.0,354.0,202.0,506.0,187.0,135.0,66.0,193.0,118.61532672000001,193.91188992000002
LA GUAJIRA,1564.0,651.0,205.0,290.0,287.0,601.0,550.0,501.0,287.0,189.0,386.05756416,209.15712000000002
MAGDALENA,1060.0,1427.0,1280.0,1378.0,666.0,525.0,581.0,761.0,512.0,364.0,386.15052288000004,1038.90665472
META,20126.0,13727.0,15369.0,22925.0,36748.0,44712.0,29061.0,35556.0,38993.0,24109.0,10309.67980032,27105.74020608
NARIÑO,2474.0,4178.0,7432.0,7765.0,5048.0,2833.0,3461.0,4911.0,6939.0,4535.0,1584.6672998400002,2132.4730368
NORTE DE SANTANDER,4084.0,8283.0,6819.0,14764.0,4092.0,7362.0,9910.0,9248.0,12034.0,7179.0,4165.0154496,3532.43136
PUTUMAYO,10720.0,11106.0,9214.0,11117.0,13070.0,13903.0,10759.0,13141.0,12804.0,10852.0,5169.0625843200005,5450.820464640001
QUINDÍO,43.0,50.0,0.0,108.0,79.0,25.0,2.0,53.0,33.0,29.0,4.27610112,0.0
RISARALDA,88.0,413.0,58.0,166.0,326.0,43.0,50.0,39.0,70.0,16.0,31.23412992,4.926812160000001
SAN ANDRÉS Y PROVIDENCIA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0
SANTANDER,2955.0,4110.0,3584.0,4992.0,5336.0,2713.0,2744.0,2597.0,2042.0,2172.0,2363.75433216,2575.70021376
SUCRE,366.0,440.0,245.0,492.0,199.0,90.0,236.0,271.0,127.0,118.0,51.68504832,106.53069312
TOLIMA,233.0,295.0,571.0,677.0,419.0,265.0,268.0,191.0,117.0,246.0,259.54074624000003,205.43877120000002
VALLE DEL CAUCA,611.0,1105.0,629.0,1108.0,510.0,341.0,204.0,541.0,579.0,515.0,225.61081344000004,204.32326656
VAUPÉS,1154.0,1967.0,1116.0,1949.0,2288.0,1123.0,2059.0,1656.0,875.0,1079.0,1978.44043776,2065.44979968
VICHADA,2661.0,2589.0,2690.0,3565.0,3900.0,6745.0,5587.0,5095.0,3952.0,2921.0,2826.8746752,2920.1122713600002
