,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BAGAZO,74.7227098074102,33.573770597221746,102.0056754903678,90.27858950348376,47.76801315780728,68.48103990819067,62.32439939095889,63.60834162257706,71.41088124336856,75.28104539817936,71.95908811233696,57.85390702056495,83.95353010521106,70.90562819490232,67.94697956393064,73.92799798621961,75.62548909506296,72.40044414923258,71.21011835961234
CARBÓN MINERAL,87.64747888491497,55.096232615928955,96.03822951826477,89.68763878726072,87.9670453837566,82.89475755333578,99.27657128936089,88.67022758548147,94.14975773881557,79.0184924640477,81.44529175237523,87.23668027084189,93.61569019903438,82.73381401023374,75.67823310768321,80.8086124443579,85.86615981910731,83.12897230577548,81.03425835203184
GAS NATURAL,160.84118040136315,159.0820239273967,193.67751961237272,178.99948350745805,178.55396329193405,200.69665810821536,201.93409710275705,222.60134574475526,215.985311153927,204.06818807503578,222.47339191423436,220.75081205009573,223.32619819614203,218.56873181583512,199.94194056817412,228.21699171939426,228.33908896217383,225.67420597058532,226.40477795587748
HIDROENERGÍA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEÑA,166.35434223257855,163.18259501714994,160.2878730020368,157.25047193149214,153.540841881951,149.6577746304612,145.8411327395653,141.6996419973529,137.6499478382463,132.77861827788465,128.25338209355627,117.21458979104118,117.42600278219413,109.13276150041558,105.42866005685103,123.14705623163316,116.32009906210878,114.98341388770528,125.9345138348224
PETROLEO,3.559268275520695,1.7903548833976128,1.747379868572445,1.518515163814971,1.7843826408755965,1.7641272789674391,1.1572152890780554,0.6264692108936037,0.49638166108480325,0.36724573950420564,0.4216195676890961,0.40629554152029385,0.43257677105622977,0.4227383033414717,0.40641627047461815,0.3998482095477674,0.4229491804465639,0.5050147233816563,0.5053374586166516
RECUPERACIÓN / RESIDUOS,2.6690876355534976,2.028562106216715,3.688029635048249,3.662046004182566,4.954145721055112,4.309005179108622,4.89548547184412,4.135719377118595,6.488350438445854,3.27361,4.27266,8.363719794065037,9.115601667008164,6.96619738,7.187739359999999,7.696501420000001,8.842245870000001,9.91677121,9.667520501163999
OTROS RENOVABLES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCOHOL CARBURANTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIODIESEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARBÓN LEÑA,3.23360919,0.30175890000000005,1.63001505,1.2731559,0.5117384700000001,0.7010656499999999,0.7454179500000001,1.0005933299999998,0.5515467,0.15849825,0.26382816000000003,0.2950652399999999,0.24061803000000004,0.07175277,0.11784651000000002,0.41892516,0.13653978,0.17430726,0.16376866101900003
COQUE,7.0490097,1.3754027999999998,6.5707704000000025,25.996194300000003,15.9316218,16.7617317,11.352821700000002,14.496120000000003,12.917948400000004,2.0004927,0.8982287999999999,1.2614960999999998,0.797193360020579,0.5043491999999999,0.46782749999999995,0.8632146,1.0450191,0.9200976000000001,0.89154944337
DIESEL OIL,191.91386545089674,205.41618239149832,214.17982264737273,226.18700399733126,242.64327907322325,263.42643175332483,283.133324488566,286.0449492348378,294.04179604079144,288.0871152184528,287.734219719611,260.2239574607321,282.16554397455263,274.56817154599844,241.3943260655398,283.5330765050943,315.56276356127705,320.61013653457593,321.2822568271343
ENERGÍA ELECTRICA SIN,143.87485554433061,151.34665039449428,167.11631934392813,168.62044563049156,176.49510905171294,177.52663229900756,188.44830422214773,193.96621807313852,203.35863734664858,209.65873385569685,212.08117664571054,218.70358527996956,217.6861573049299,236.9473825117348,229.2146588245831,241.7098504944899,248.6563030069146,254.37697081181005,262.32856293194
AUTO & COGENERACIÓN,10.803896776800006,10.8722829132,10.9074689388,11.553656079600001,13.1832256788,12.043592103600002,13.9210637112,13.836097738800003,15.8017156092,16.240258188,16.086878546399998,17.7112669104,18.9843615684,20.999474118000006,19.992872232,18.629138451600003,19.6584260508,20.476274399999994,20.311237262322724
FUEL OIL,5.5011766088346175,7.31240517218176,9.430429509842499,5.7154271702034585,3.836220300117406,3.9742942643834507,1.01899353008534,0.9195754424088198,4.813176303330655,7.884287126410942,8.262002424133312,12.84240676705923,7.100554584128896,1.0997674772192751,5.5619015478024885,6.321314747907889,6.44359479836409,5.672490714193007,6.193036187053693
GAS LICUADO DE PETRÓLEO,37.85254517444385,43.4672210208806,43.88274790805256,31.322305230938603,28.689337692964145,27.796601809344686,26.16971108150086,25.742917958233278,27.703180527960225,27.66317207938864,28.95146473171846,31.44488275809348,28.28465049753894,32.22512832547943,33.089874589623264,33.4763505788146,35.31134050289165,35.411705131876815,35.92134828439179
GASOLINA MOTOR,183.48798345083003,178.7501460999836,171.6968273712168,170.86442676260359,176.0901682078933,183.64638332879315,190.81573405066143,200.09727595435913,213.41796678301756,205.74049889641887,227.61375368443487,230.65339675454686,239.3464191020441,253.21856208350667,216.84419682003823,279.8648034901172,309.56624459080814,302.26331900742747,285.7447318459608
KEROSENE Y JET FUEL,30.393458848162773,30.3447960802007,29.860484143393634,30.2062428009523,31.567414685897532,33.42290423421388,35.74056811966959,37.22004335174946,46.50698847834908,49.94896200026392,49.704576498036914,48.978985961582524,54.61590385564494,59.40919373012282,38.10221102865002,41.9807568549024,57.5222398050729,50.74504839027495,51.0974367443284
